spacetimedb.com|clockworklabs/SpacetimeDB|spacetime
crates.io/cargo-clean-all|dnlmlr/cargo-clean-all|cargocleanall
crates.io/wthrr|ttytm/wthrr-the-weathercrab|wthrr
crates.io/fselect|jhspetersson/fselect|fselect
crates.io/gpg-inspector|jhheider/gpg-inspector|gpginspector
crates.io/semverator|jhheider/semverator|semverator
crates.io/cargo-binstall|cargo-bins/cargo-binstall|cargobinstall
crates.io/drill|fcsonline/drill|drill
crates.io/rpg-cli|facundoolano/rpg-cli|rpgcli
crates.io/trashy|oberblastmeister/trashy|trash
crates.io/get-blessed|josueBarretogit/get_blessed_rs|getblessed
crates.io/penknife|jhheider/penknife|penknife
crates.io/toast|stepchowfun/toast|toast
crates.io/cargo-tarpaulin|xd009642/tarpaulin|cargotarpaulin
crates.io/diskus|sharkdp/diskus|diskus
crates.io/ruplacer|your-tools/ruplacer|ruplacer
crates.io/omekasy|ikanago/omekasy|omekasy
crates.io/ripgrep-all|phiresky/ripgrep-all|rga
crates.io/exa|ogham/exa|exa
crates.io/hyperfine|sharkdp/hyperfine|hyperfine
crates.io/ox|curlpipe/ox|ox
crates.io/stylua|JohnnyMorganz/StyLua|stylua
crates.io/jnv|ynqa/jnv|jnv
crates.io/gitui|extrawurst/gitui|gitui
crates.io/kubie|sbstp/kubie|kubie
crates.io/flamegraph|flamegraph-rs/flamegraph|flamegraph
crates.io/du-dust|bootandy/dust|dust
crates.io/click|databricks/click|click
crates.io/mprocs|pvolok/mprocs|mprocs
crates.io/pqrs|manojkarthick/pqrs|pqrs
crates.io/git-grab|wezm/git-grab|gitgrab
crates.io/grex|pemistahl/grex|grex
crates.io/termusic|tramhao/termusic|termusic
crates.io/xh|ducaale/xh|xh
crates.io/xan|medialab/xan|xan
crates.io/mdcat|swsnr/mdcat|mdcat
crates.io/gitopolis|rustworkshop/gitopolis|gitopolis
crates.io/git-branchless|arxanas/git-branchless|gitbranchless
crates.io/pik|jacek-kurlit/pik|pik
crates.io/srgn|alexpovel/srgn|srgn
crates.io/git-delta|dandavison/delta|delta
crates.io/rust-kanban|yashs662/rust_kanban|rustkanban
crates.io/aichat|sigoden/aichat|aichat
crates.io/albion_terminal_rpg|rmj1001/albion-rpg|albionrpg
crates.io/pastel|sharkdp/pastel|pastel
crates.io/qsv|dathere/qsv|qsv
crates.io/versio|chaaz/versio|versio
crates.io/mask|jacobdeichert/mask|mask
crates.io/wordl|palerdot/wordl-rs|wordl
crates.io/tiny|osa1/tiny|tiny
crates.io/killport|jkfran/killport|killport
crates.io/cargo-edit|killercup/cargo-edit|cargoadd
crates.io/hac-client|wllfaria/hac|hac
crates.io/zellij|zellij-org/zellij|zellij
crates.io/wasm-pack|rustwasm/wasm-pack|wasmpack
crates.io/sqlx-cli|launchbadge/sqlx|cargosqlx
crates.io/gitu|altsem/gitu|gitu
crates.io/tea-gpg-wallet|jhheider/tea-gpg-wallet|teagpgwallet
crates.io/samply|mstange/samply|samply
crates.io/eza|eza-community/eza|eza
crates.io/pueue|nukesor/pueue|pueue
crates.io/edikt|jhheider/edikt|edikt
